Domain Code,Domain,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QC","Crops","5510","Production","1738","Fruit Primary","tonnes","6381574","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5510","Production","1717","Cereals, Total","tonnes","5312976","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5510","Production","1723","Sugar Crops Primary","tonnes","4211840","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5510","Production","1735","Vegetables Primary","tonnes","4205557","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5510","Production","15","Wheat","tonnes","4025303","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5510","Production","157","Sugar beet","tonnes","3692884","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5510","Production","1804","Citrus Fruit, Total","tonnes","2621519","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5510","Production","1731","Oilcrops","tonnes","1985802","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5510","Production","1720","Roots and Tubers, Total","tonnes","1966224","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5510","Production","116","Potatoes","tonnes","1956711","A","Aggregate, may include official, semi-official, estimated or calculated data"
