Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","1994","1994","ha","430000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","1995","1995","ha","415200","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","1996","1996","ha","418800","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","1997","1997","ha","426600","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","1998","1998","ha","520000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","1999","1999","ha","520000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2000","2000","ha","540000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2001","2001","ha","550000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2002","2002","ha","477300","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2003","2003","ha","481000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2004","2004","ha","590000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2005","2005","ha","600000","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2006","2006","ha","522800","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2007","2007","ha","530900","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2008","2008","ha","547600","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2009","2009","ha","665400","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2010","2010","ha","830481","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2011","2011","ha","900743","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2012","2012","ha","968123","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2013","2013","ha","922235","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2014","2014","ha","946818","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2015","2015","ha","1006491","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2016","2016","ha","1008365","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2017","2017","ha","1020569","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2018","2018","ha","1045186","","Official data"
"QC","Crops","143","Morocco","5312","Area harvested","260","Olives","2019","2019","ha","1073493","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","1994","1994","tonnes","500000","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","1995","1995","tonnes","436360","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","1996","1996","tonnes","908300","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","1997","1997","tonnes","517600","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","1998","1998","tonnes","708550","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","1999","1999","tonnes","475750","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2000","2000","tonnes","400000","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2001","2001","tonnes","420000","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2002","2002","tonnes","455200","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2003","2003","tonnes","830100","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2004","2004","tonnes","500000","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2005","2005","tonnes","750000","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2006","2006","tonnes","631210","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2007","2007","tonnes","659100","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2008","2008","tonnes","765380","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2009","2009","tonnes","850000","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2010","2010","tonnes","1506473","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2011","2011","tonnes","1415902","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2012","2012","tonnes","1315794","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2013","2013","tonnes","1181676","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2014","2014","tonnes","1573206","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2015","2015","tonnes","1144238","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2016","2016","tonnes","1416107","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2017","2017","tonnes","1039117","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2018","2018","tonnes","1561465","","Official data"
"QC","Crops","143","Morocco","5510","Production","260","Olives","2019","2019","tonnes","1912238","","Official data"
